Party,Candidates,Constituency
Social Democrats,Mary Roche,Waterford (4 seats)
PBP–Solidarity,Patrick Curtain,Waterford (4 seats)
Independent Ireland,,Waterford (4 seats)
Aontú,Ronan Cleary,Waterford (4 seats)
Independent,Killian Mangan,Waterford (4 seats)
Others,John D Walsh (IP),Waterford (4 seats)
Fianna Fáil,James Browne[*] Michelle O'Neill[43],Wexford (4 seats)
Sinn Féin,Johnny Mythen[*],Wexford (4 seats)
Fine Gael,Bridín Murphy Cathal Byrne,Wexford (4 seats)
Green,Peadar McDonald,Wexford (4 seats)
Labour,George Lawlor,Wexford (4 seats)
Social Democrats,,Wexford (4 seats)
PBP–Solidarity,Martina Stafford,Wexford (4 seats)
Independent Ireland,,Wexford (4 seats)
Aontú,Jim Codd,Wexford (4 seats)
Independent,Verona Murphy[*] Michael Sheehan[44],Wexford (4 seats)
Others,Jason Murphy (NP) Stephen Power (IP),Wexford (4 seats)
Fianna Fáil,Stephen Donnelly[*],Wicklow (4 seats)
Sinn Féin,John Brady[*],Wicklow (4 seats)
Fine Gael,Simon Harris[*] Edward Timmins,Wicklow (4 seats)
Green,Steven Matthews[*],Wicklow (4 seats)
Labour,Paul O'Brien,Wicklow (4 seats)
Social Democrats,Jennifer Whitmore[*],Wicklow (4 seats)
PBP–Solidarity,Kellie McConnell[45],Wicklow (4 seats)
Independent Ireland,,Wicklow (4 seats)
Aontú,Ciarán Hogan,Wicklow (4 seats)
Independent,Joe Behan[‡] Shay Cullen Charlie Keddy Rob Carry,Wicklow (4 seats)
Others,,Wicklow (4 seats)
Fianna Fáil,Malcolm Byrne[#] Pat Kennedy,Wicklow–Wexford (3 seats)
Sinn Féin,Fionntán O Súillebháin,Wicklow–Wexford (3 seats)
Fine Gael,Brian Brennan,Wicklow–Wexford (3 seats)
Green,Ann Walsh,Wicklow–Wexford (3 seats)
Labour,,Wicklow–Wexford (3 seats)
Social Democrats,,Wicklow–Wexford (3 seats)
PBP–Solidarity,Aislinn O'Keeffe,Wicklow–Wexford (3 seats)
Independent Ireland,,Wicklow–Wexford (3 seats)
Aontú,Sinéad Boland,Wicklow–Wexford (3 seats)
Independent,Peir Leonard,Wicklow–Wexford (3 seats)
Others,,Wicklow–Wexford (3 seats)
